claim,label
"No,  Manuela Carmena no ha dado positivo por coronavirus: lo ha tuiteado una cuenta falsa que se hace pasar por El País",fake
"El bulo de los guantes morados de Celaá y Valerio por ""miedo al coronavirus"" en la manifestación del 8M",fake
"No,  una etiqueta del desinfectante Lysol no demuestra que “el coronavirus actual siempre ha existido” como dice un vídeo viral",fake
¿El coronavirus se puede curar con un té de plantas medicinales?,fake
"El bulo del vídeo sobre COVID-19 ""la verdad sobre el coronavirus"": no hay ninguna prueba de que fuese creado en un laboratorio en 2013",fake
No hay pruebas de que practicar sexo al menos cada dos días prevenga la infección por coronavirus,fake
"El bulo del vagón de tren con la inscripción ""COVID-19""",fake
"No,  Putin no ha liberado a 700 leones para mantener a la gente en sus casas por el coronavirus: es una imagen de 2016 en Sudáfrica",fake
Ni hay pruebas de que el brote del nuevo coronavirus haya sido creado en un laboratorio ni los coronavirus en humanos son recientes,fake
"¿Qué sabemos sobre el audio que dice, en relación a las infecciones por coronavirus, que ""todo se debe a la vitamina D""?",fake
Qué sabemos del vídeo de un supuesto transportista que denuncia que se lleva a Francia material sanitario: los paquetes que enseña son de folios,fake
"No,  no es cierto que el Gobierno no esté comprando test para detectar el coronavirus a la empresa Genomica,  cuya directora es hermana de Cospedal*",fake
"No,  no hay pruebas de que el COVID-19 haya salido de un laboratorio de Fort Detrick (Estados Unidos)",fake
Cuidado con el supuesto correo de CaixaBank que pide la verificación de la cuenta por los cambios en el protocolo debido al estado de alarma por el coronavirus: es 'phishing',fake
"No,  el estado de alarma por el COVID-19 no se ha prolongado hasta el 30 de abril en España,  a fecha de 3 de abril a las 18:30",fake
La falsa encuesta electoral de la inventada empresa 'JP Logística' que da la victoria al PP por el coronavirus,fake
"No,  no hay homenajes con ejército y banda de música de la Policía Municipal todos los días en Ifema: el vídeo es de un homenaje puntual por el Día de la Salud",fake
"No,  este vídeo de personas gritando para que les dejen “ir a misa” no es actual ni tiene que ver con el coronavirus: está grabado en el Valle de los Caídos días antes de la exhumación de Franco",fake
¿NOS HAN ENGAÑADO A TODOS?,fake
"No,  esta imagen panorámica de Madrid 'sin contaminación' no ha sido tomada durante el confinamiento por el coronavirus",fake
"¿Ha publicado el BOE que te pueden ""expropiar"" una vivienda? El Gobierno indica que el programa no permite la expropiación de viviendas*",fake
"No,  este vídeo en el que un hombre se corta el cuello no se ha grabado ni durante la cuarentena por el coronavirus ni en España",fake
"Este vídeo con bolsas negras de cadáveres no es del Palacio de Hielo de Madrid,  es Guayaquil (Ecuador)",fake
"¿Qué sabemos sobre la supuesta cita de la hija del presidente del Banco Santander en Portugal,  fallecido por coronavirus,  en la que dice: 'Somos una familia millonaria,  pero mi papá murió solo y sofocado,  buscando algo tan simple como el aire. El dinero se quedó en casa'?",fake
¿El coronavirus ataca a la hemoglobina de la sangre y no a los pulmones como asegura esta cadena de WhatsApp? A día de hoy no hay evidencias de que sea verdad,fake
"No,  este no es un documento oficial para la desescalada del estado de alarma por el coronavirus que plantea el Gobierno: es un documento de un economista y plantea su opinión personal",fake
"No,  no es un político español fichando por otros en el Congreso por las dietas: es Ucrania",fake
"No,  el producto ‘Covid-19 IgM/IgG’ no es una vacuna ni cura el coronavirus: es un test que detecta si el cuerpo está produciendo anticuerpos para luchar contra el coronavirus",fake
¿Qué sabemos sobre la autoría del audio que habla del confinamiento y que se atribuye al magistrado de Tarragona Ángel Martínez Sáez? Él asegura que no es suyo,fake
¿Qué sabemos de la cadena que asegura que en Leganés (Madrid) entregan mascarillas impregnadas en cloroformo para robar en plena crisis del coronavirus? Policía Local y Policía Nacional no tienen constancia de ningún caso a 23 de abril,fake
"No,  este anciano no está ingresado en La Paz ni en el Doctor Negrín ni en España por el coronavirus",fake
El bulo del coronavirus y el desinfectante Lysol,fake
"No,  la foto de musulmanes rezando en grupo en azoteas que se mueve como si fuera durante el confinamiento por coronavirus no es en España: es en Dubai",fake
